"","x"
"1","POD_ID"
"2","POD_NUMBER"
"3","POD_STATUS"
"4","SOURCE_TYPE"
"5","POD_NAME"
"6","POD_TYPE"
"7","DIVERSION_WORKS_STATUS"
"8","STREAM_CLASSIFICATION"
"9","DIRECT_DIV_AMOUNT"
"10","DIRECT_DIVERSION_RATE"
"11","DIRECT_DIV_RATE_UNIT"
"12","STORAGE_AMOUNT"
"13","DIVERSION_RATE_TO_OFF_STREAM"
"14","OFF_STO_DIV_RATE_UNIT"
"15","POD_LAST_UPDATE_DATE"
"16","POD_COUNT"
"17","APPL_ID"
"18","OBJECTID"
"19","POD_NUMBER_GIS"
"20","HAS_OPOD"
"21","APPL_POD"
"22","POD_ID_GIS"
"23","COUNTY"
"24","PARCEL_NUMBER"
"25","SP_ZONE"
"26","DIVERSION_SITE_NAME"
"27","NORTH_COORD"
"28","EAST_COORD"
"29","LATITUDE"
"30","LONGITUDE"
"31","QUARTER_QUARTER"
"32","QUARTER"
"33","SECTION_CLASSIFIER"
"34","SECTION_NUMBER"
"35","TOWNSHIP_NUMBER"
"36","TOWNSHIP_DIRECTION"
"37","RANGE_NUMBER"
"38","RANGE_DIRECTION"
"39","MERIDIAN"
"40","LOCATION_METHOD"
"41","SPECIAL_USE_AREA"
"42","SOURCE_NAME"
"43","TRIB_DESC"
"44","WATERSHED"
"45","HUC_12_NUMBER"
"46","HUC_12_NAME"
"47","HUC_8_NUMBER"
"48","HUC_8_NAME"
"49","QUAD_MAP_NAME"
"50","QUAD_MAP_NUMBER"
"51","WR_WATER_RIGHT_ID"
"52","APPLICATION_NUMBER"
"53","CERTIFICATE_ID"
"54","PERMIT_ID"
"55","LICENSE_ID"
"56","WATER_RIGHT_TYPE"
"57","WATER_RIGHT_STATUS"
"58","APPLICATION_NUMBER_PARTY"
"59","PWSS_ID"
"60","PRIORITY_DATE"
"61","RECEIPT_DATE"
"62","REJECTION_DATE"
"63","APPLICATION_RECD_DATE"
"64","APPLICATION_ACCEPTANCE_DATE"
"65","PROJECT_TYPE"
"66","RECORD_SUMMARY"
"67","INCOMPLETE_STATEMENT"
"68","NUMBER_OF_PROTESTS"
"69","AGENT_NAME"
"70","AGENT_ENTITY_TYPE"
"71","APPLICATION_PRIMARY_OWNER"
"72","PRIMARY_OWNER_ENTITY_TYPE"
"73","SUB_TYPE"
"74","INI_REPORTED_DIV_AMOUNT"
"75","INI_REPORTED_DIV_UNIT"
"76","FACE_VALUE_AMOUNT"
"77","FACE_VALUE_UNITS"
"78","FEE_DUE"
"79","FEE_RECEIVED"
"80","APPL_FEE_AMOUNT"
"81","APPL_FEE_AMT_RECD"
"82","MAX_DD_APPL"
"83","MAX_DD_UNITS"
"84","MAX_DD_ANN"
"85","MAX_STORAGE"
"86","MAX_TAKEN_FROM_SOURCE"
"87","YEAR_DIVERSION_COMMENCED"
"88","MAX_BENEFICIALLY_USED"
"89","SUPPLEMENTAL_STATEMENT_CYCLE"
"90","TYPE_OF_DIVERSION_FACILITY"
"91","QUANTITY_OF_WATER_DIVERTED"
"92","QOW_DIVERTED_UNIT"
"93","QUANTITY_MEASUREMENT_YEAR"
"94","MAX_RATE_OF_DIVERSION"
"95","MAX_RATE_OF_DIV_UNIT"
"96","RECENT_WATER_USE_MIN"
"97","WATER_USE_MIN_UNIT"
"98","RECENT_WATER_USE_MAX"
"99","WATER_USE_MAX_UNIT"
"100","REQUEST_FOR_REVOCATION_RECD"
"101","NUM_COMMENTS"
"102","NUM_ATTACHMENTS"
"103","LAST_UPDATE_DATE"
"104","STATE_WELL_NUMBER"
"105","DRILLED_WELL_YEAR"
"106","SURFACE_WATER_DIVERSIONS"
"107","DEPTH_OF_WELL"
"108","RELATIONSHIP_TYPE"
"109","PARTY_ID"
"110","EFFECTIVE_FROM_DATE"
"111","EFFECTIVE_TO_DATE"
"112","PRIMARY_OWNER_NAME"
"113","PRIMARY_OWNER_ENTITY_TYPE_P"
"114","OFFICIAL_MAIL_RECEIVER"
"115","COUNT_NPO_OR_OTHER"
"116","CURRENT_STATUS"
"117","EFFECTIVE_DATE"
"118","UPDATE_DATETIME"
"119","USE_CODE"
"120","USE_STATUS"
"121","NUMBER_OF_RESIDENCES"
"122","SEPERATELY_OWNED"
"123","USE_POPULATION"
"124","USE_POPULATION_PEOPLE"
"125","ESTIMATED_USE_PER_PERSON"
"126","USE_POPULATION_STOCK"
"127","TYPE_OF_STOCK"
"128","AREA_FOR_INCI_IRRIGATION"
"129","USE_NET_ACREAGE"
"130","USE_GROSS_ACREAGE"
"131","USE_DIRECT_DIV_ANNUAL_AMOUNT"
"132","USE_DIRECT_DIVERSION_RATE"
"133","USE_DIRECT_DIV_RATE_UNITS"
"134","POU_DEVELOPMENT_STATUS"
"135","DIRECT_DIV_SEASON_START"
"136","DIRECT_DIV_SEASON_END"
"137","USE_STORAGE_AMOUNT"
"138","STORAGE_SEASON_START"
"139","STORAGE_SEASON_END"
"140","SEASON_DIRECT_DIV_RATE"
"141","SEASON_STORAGE_AMOUNT"
"142","SEASON_DIRECT_DIV_AA"
"143","DIRECT_DIV_SEASON_STATUS"
"144","COLLECTION_SEASON_STATUS"
"145","USE_COUNT"
"146","PERMIT_PERMIT_ID"
"147","PERMIT_ORIGINAL_ISSUE_DATE"
"148","COMPLETE_CONSTRUCTION_DATE"
"149","COMPLETE_APPLIC_WATER_DATE"
"150","LICENSE_LICENSE_ID"
"151","LICENSE_ORIGINAL_ISSUE_DATE"
"152","WATER_RIGHT_DESCRIPTION"
"153","PROGRAM_UNIT"
"154","LICENSE_REQUEST_TYPE"
"155","LICENSE_REQUESTED_DATE"
"156","INSPECTION_DATE"
"157","REPORT_DATE"
"158","OFFER_SENT_DATE"
"159","ACCEPTED_OFFER_DATE"
"160","PETITION_ID"
"161","PETITION_TYPE"
"162","PETITION_STATUS_TYPE"
"163","DATE_RECEIVED"
"164","DATE_COMPLETED"
"165","PET_LAST_UPDATE_DATE"
"166","NUM_OF_PETITIONS"
"167","ENF_CASE_NUMBER"
"168","ENF_CASE_START_DATE"
"169","ENF_CASE_CLOSURE_DATE"
"170","ENF_CASE_COUNTY"
"171","NUMBER_OF_ENFORCEMENT_CASE"
