"","x"
"1","INSPECTION_ID"
"2","INSPECTION_DATE"
"3","INSPECTION_METHOD"
"4","INSPECTION_REPORT_DATE"
"5","INSPECTION_NOTES"
"6","NUM_INSPECTION"
"7","NUM_POI"
"8","POI_ID_1"
"9","POI_COUNTY_1"
"10","POI_SOURCE_1"
"11","POI_TRIBUTARY_TO_1"
"12","POI_LATITUDE_1"
"13","POI_LONGITUDE_1"
"14","POI_DESCRIPTION_1"
"15","PRIMARY_POI_1"
"16","POI_ID_2"
"17","POI_COUNTY_2"
"18","POI_SOURCE_2"
"19","POI_TRIBUTARY_TO_2"
"20","POI_LATITUDE_2"
"21","POI_LONGITUDE_2"
"22","POI_DESCRIPTION_2"
"23","PRIMARY_POI_2"
"24","POI_ID_3"
"25","POI_COUNTY_3"
"26","POI_SOURCE_3"
"27","POI_TRIBUTARY_TO_3"
"28","POI_LATITUDE_3"
"29","POI_LONGITUDE_3"
"30","POI_DESCRIPTION_3"
"31","PRIMARY_POI_3"
"32","INVESTIGATION_ID"
"33","INVESTIGATION_TYPE"
"34","INVESTIGATION_START_DATE"
"35","INVESTIGATION_CLOSURE_DATE"
"36","NUM_OF_VIOLATIONS"
"37","ENF_CASE_NUMBER"
"38","ENFOCEMENT_ACTION_TYPE"
"39","ENF_CASE_CLOSURE_DATE"
"40","NUM_OF_COMMENTS"
"41","NUM_OF_ATTACHMENTS"
"42","INVESTIGATION_LEAD_STAFF"
"43","INVEST_SECTION_OR_OFFICE"
"44","INVESTIGATION_SWEEP"
"45","RESOURCE_VALUE_PRIORITY"
"46","INVESTIGATION_SUMMARY"
"47","NUM_VIOLATION"
"48","ASSOCIATED_WR_TO_INV"
