"","x"
"1","REPORT_YEAR"
"2","REVISION"
"3","REVISION_ATTRIBUTE"
"4","REPORT_SYSTEM_UNIQUE_ID"
"5","PRIMARY_OWNER"
"6","PRIMARY_CONTACT"
"7","DATE_SUBMITTED"
"8","APPLICATION_NUMBER"
"9","CERTIFICATE_ID"
"10","PERMIT_ID"
"11","LICENSE_ID"
"12","WATER_RIGHT_TYPE"
"13","WATER_RIGHT_STATUS"
"14","SOURCE_OF_WATER"
"15","POD_PARCEL_NUMBER"
"16","COUNTY"
"17","MAX_DIRECT_DIVERSION_RATE"
"18","MAX_DIRECT_DIVERSION_RATE_UNIT"
"19","MAX_COLLECTION_TO_STORAGE"
"20","MAX_COLLECTION_TO_STORAGE_UNIT"
"21","FACE_VALUE"
"22","FACE_VALUE_UNIT"
"23","NOT_USED_UNDER_WR"
"24","IRRIGATION"
"25","CROP_TYPE"
"26","MULTIPLE_CROPS"
"27","AREA_IRRIGATED"
"28","PRIMARY_IRRIG_METHOD"
"29","TOTAL_ACRES_IRRIGATED"
"30","TOTAL_CROPS"
