"","x"
"1","APPLICATION_ID"
"2","PARTY_ID"
"3","PARTY_NAME"
"4","ENTITY_TYPE"
"5","MAILING_ADDRESS"
"6","BILLING_ADDRESS"
"7","CONTACT_INFORMATION_PHONE"
"8","CONTACT_INFORMATION_EMAIL"
"9","RELATIONSHIP_TYPE"
"10","MAIL_RECEIVER"
"11","EFFECTIVE_FROM_DATE"
"12","EFFECTIVE_TO_DATE"
"13","NO_COMMENT"
"14","NO_ATTACHMENT"
"15","LAST_UPDATE_DATE"
"16","LAST_UPDATE_USER"
"17","LAST_NAME_OR_COMPANY_NAME"
"18","MIDDLE_NAME"
"19","FIRST_NAME"
"20","PRIMARY_OWNER_NAME"
"21","PRIMARY_OWNER_PARTY_ID"
"22","PRIMARY_OWNER_ENTITY_TYPE"
"23","MAIL_RECEIVER_NAME"
"24","MAIL_RECEIVER_PARTY_ID"
"25","MAIL_RECEIVER_ENTITY_TYPE"
"26","NO_PARTY"
"27","NO_APP"
"28","WRIMS_CONTACT_ID"
"29","MAILING_STREET_NUMBER"
"30","MAILING_STREET_NAME"
"31","MAILING_ADDRESS_LINE_2"
"32","MAILING_CITY"
"33","MAILING_STATE"
"34","MAILING_ZIP"
"35","MAILING_COUNTRY"
"36","MAILING_FOREIGN_CODE"
"37","BILLING_STREET_NUMBER"
"38","BILLING_STREET_NAME"
"39","BILLING_ADDRESS_LINE_2"
"40","BILLING_CITY"
"41","BILLING_STATE"
"42","BILLING_ZIP"
"43","BILLING_COUNTRY"
"44","BILLING_FOREIGN_CODE"
"45","WR_WATER_RIGHT_ID"
"46","APPLICATION_NUMBER"
"47","CERTIFICATE_ID"
"48","PERMIT_ID"
"49","LICENSE_ID"
"50","WATER_RIGHT_TYPE"
"51","WATER_RIGHT_STATUS"
"52","PRIMARY_OWNER"
"53","APPLICATION_NUMBER_PARTY"
"54","PWSS_ID"
"55","PRIORITY_DATE"
"56","RECEIPT_DATE"
"57","REJECTION_DATE"
"58","APPLICATION_RECD_DATE"
"59","APPLICATION_ACCEPTANCE_DATE"
"60","PROJECT_TYPE"
"61","RECORD_SUMMARY"
"62","INCOMPLETE_STATEMENT"
"63","NUMBER_OF_PROTESTS"
"64","AGENT_NAME"
"65","AGENT_ENTITY_TYPE"
"66","APPLICATION_PRIMARY_OWNER"
"67","PRIMARY_OWNER_TYPE"
"68","SUB_TYPE"
"69","INI_REPORTED_DIV_AMOUNT"
"70","INI_REPORTED_DIV_UNIT"
"71","FACE_VALUE_AMOUNT"
"72","FACE_VALUE_UNITS"
"73","FEE_DUE"
"74","FEE_RECEIVED"
"75","APPL_FEE_AMOUNT"
"76","APPL_FEE_AMT_RECD"
"77","MAX_DD_APPL"
"78","MAX_DD_UNITS"
"79","MAX_DD_ANN"
"80","MAX_STORAGE"
"81","MAX_TAKEN_FROM_SOURCE"
"82","YEAR_DIVERSION_COMMENCED"
"83","MAX_BENEFICIALLY_USED"
"84","SUPPLEMENTAL_STATEMENT_CYCLE"
"85","TYPE_OF_DIVERSION_FACILITY"
"86","QUANTITY_OF_WATER_DIVERTED"
"87","QOW_DIVERTED_UNIT"
"88","QUANTITY_MEASUREMENT_YEAR"
"89","MAX_RATE_OF_DIVERSION"
"90","MAX_RATE_OF_DIV_UNIT"
"91","RECENT_WATER_USE_MIN"
"92","WATER_USE_MIN_UNIT"
"93","RECENT_WATER_USE_MAX"
"94","WATER_USE_MAX_UNIT"
"95","REQUEST_FOR_REVOCATION_RECD"
"96","NUM_COMMENTS"
"97","NUM_ATTACHMENTS"
"98","APPLICATION_LAST_UPDATE_DATE"
"99","STATE_WELL_NUMBER"
"100","DRILLED_WELL_YEAR"
"101","SURFACE_WATER_DIVERSIONS"
"102","DEPTH_OF_WELL"
"103","CURRENT_STATUS"
"104","EFFECTIVE_DATE"
"105","UPDATE_DATETIME"
"106","APPL_ID"
"107","OBJECTID"
"108","POD_NUMBER"
"109","HAS_OPOD"
"110","APPL_POD"
"111","POD_ID_GIS"
"112","POD_ID"
"113","COUNTY"
"114","PARCEL_NUMBER"
"115","SP_ZONE"
"116","DIVERSION_SITE_NAME"
"117","NORTH_COORD"
"118","EAST_COORD"
"119","LATITUDE"
"120","LONGITUDE"
"121","QUARTER_QUARTER"
"122","QUARTER"
"123","SECTION_CLASSIFIER"
"124","SECTION_NUMBER"
"125","TOWNSHIP_NUMBER"
"126","TOWNSHIP_DIRECTION"
"127","RANGE_NUMBER"
"128","RANGE_DIRECTION"
"129","MERIDIAN"
"130","LOCATION_METHOD"
"131","SPECIAL_USE_AREA"
"132","SOURCE_NAME"
"133","TRIB_DESC"
"134","WATERSHED"
"135","HUC_12_NUMBER"
"136","HUC_12_NAME"
"137","HUC_8_NUMBER"
"138","HUC_8_NAME"
"139","QUAD_MAP_NAME"
"140","QUAD_MAP_NUMBER"
"141","PERMIT_PERMIT_ID"
"142","PERMIT_ORIGINAL_ISSUE_DATE"
"143","COMPLETE_CONSTRUCTION_DATE"
"144","COMPLETE_APPLIC_WATER_DATE"
"145","LICENSE_LICENSE_ID"
"146","LICENSE_ORIGINAL_ISSUE_DATE"
"147","WATER_RIGHT_DESCRIPTION"
"148","PROGRAM_UNIT"
"149","LICENSE_REQUEST_TYPE"
"150","LICENSE_REQUESTED_DATE"
"151","INSPECTION_DATE"
"152","REPORT_DATE"
"153","OFFER_SENT_DATE"
"154","ACCEPTED_OFFER_DATE"
"155","PETITION_ID"
"156","PETITION_TYPE"
"157","PETITION_STATUS_TYPE"
"158","DATE_RECEIVED"
"159","DATE_COMPLETED"
"160","PET_LAST_UPDATE_DATE"
"161","NUM_OF_PETITIONS"
"162","ENF_CASE_NUMBER"
"163","ENF_CASE_START_DATE"
"164","ENF_CASE_CLOSURE_DATE"
"165","ENF_CASE_COUNTY"
