"","x"
"1","WR_WATER_RIGHT_ID"
"2","APPLICATION_NUMBER"
"3","STATEMENT_ID"
"4","CERTIFICATE_ID"
"5","PERMIT_ID"
"6","LICENSE_ID"
"7","WATER_RIGHT_TYPE"
"8","WATER_RIGHT_STATUS"
"9","PRIMARY_OWNER"
"10","PETITION_ID"
"11","PETITION_NUMBER"
"12","PETITION_TYPE"
"13","PETITION_STATUS"
"14","PETITION_DESCRIPTION"
"15","PETITION_DATE_RECEIVED"
"16","PETITION_DATE_COMPLETED"
"17","RELATED_WR_BY_PETITION"
"18","PET_SOURCE"
"19","HUC_8"
"20","HUC_12"
"21","PET_WATERSHED"
"22","COUNTY_OF_ORIGIN"
"23","PET_PRIMARY_OWNER"
"24","PETITION_ASSIGNED_STATUS"
"25","PETITION_ASSIGNED_TO"
"26","WC_SECTION_1707_FLAG"
"27","INVOLVE_TRANSFER"
"28","REQUESTED_TRANSFER_AMOUNT"
"29","APPROVED_TRANSFER_AMOUNT"
"30","TYPE_OF_TRANSFER"
"31","AGENCY_APPROVAL"
"32","COMMENTS_RECEIVED_FLAG"
"33","TOTAL_NUM_SELLERS"
"34","SELLER_1"
"35","SELLER_2"
"36","TOTAL_NUM_BUYERS"
"37","BUYER_1"
"38","BUYER_2"
"39","BUYER_3"
"40","BUYER_4"
"41","BUYER_5"
"42","BUYER_6"
"43","BUYER_7"
"44","BUYER_8"
"45","BUYER_9"
"46","BUYER_10"
"47","COMMENT_DEADLINE_DATE"
"48","DEADLINE_ORDER_WITHOUT_COMMENT"
"49","DEADLINE_ORDER_WITH_COMMENT"
"50","DATE_TRANSFER_END"
"51","NUM_RELATED_PETITIONS"
"52","RELATED_PETITION_1"
"53","RELATED_PETITION_2"
"54","RELATED_PETITION_3"
"55","RELATED_PETITION_4"
"56","PET_RPOGRAM_UNIT"
"57","STAFF_ASSIGNED"
"58","NOTICE_REQUIRED_FLAG"
"59","NUM_COMMENT"
"60","NUM_ATTACHMENT"
"61","LAST_UPDATE_DATE"
"62","ON_DIVERTED_OR_USE_FLAG"
"63","COMMENT_FIELD"
"64","PUBLIC_NOTICE"
"65","PUBLIC_NOTICE_DATE"
"66","PUBLIC_NOTICE_COMMENT"
"67","PETITION_HOLD"
"68","PETITION_HOLD_DATE"
"69","PETITION_HOLD_COMMENT"
"70","PETITION_DIVERTED"
"71","PETITION_DIVERTED_DATE"
"72","PETITION_DIVERTED_COMMENT"
"73","CEQA"
"74","CEQA_DATE"
"75","CEQA_COMMENT"
"76","APPLICATION_FAILED"
"77","APPLICATION_FAILED_DATE"
"78","APPLICATION_FAILED_COMMENT"
"79","NUM_RELATED_NOTICE"
"80","NOTICE_ID_1"
"81","NOTICE_APPLICATION_LIST_1"
"82","NOTICE_TYPE_1"
"83","NOTICE_DESCRIPTION_1"
"84","NOTICE_PERIOD_DAYS_1"
"85","NOTICE_PERIOD_OTHER_1"
"86","START_DATE_1"
"87","END_DATE_1"
"88","NOTICE_LAST_UPDATE_DATE_1"
"89","NUM_ATTACHMENT_1"
"90","NOTICE_ID_2"
"91","NOTICE_APPLICATION_LIST_2"
"92","NOTICE_TYPE_2"
"93","NOTICE_DESCRIPTION_2"
"94","NOTICE_PERIOD_DAYS_2"
"95","NOTICE_PERIOD_OTHER_2"
"96","START_DATE_2"
"97","END_DATE_2"
"98","NOTICE_LAST_UPDATE_DATE_2"
"99","NUM_ATTACHMENT_2"
"100","NOTICE_ID_3"
"101","NOTICE_APPLICATION_LIST_3"
"102","NOTICE_TYPE_3"
"103","NOTICE_DESCRIPTION_3"
"104","NOTICE_PERIOD_DAYS_3"
"105","NOTICE_PERIOD_OTHER_3"
"106","START_DATE_3"
"107","END_DATE_3"
"108","NOTICE_LAST_UPDATE_DATE_3"
"109","NUM_ATTACHMENT_3"
"110","FINAL_BILLING_DETERMINATION"
"111","USER_NAME"
"112","PET_DATE"
"113","APPLICATION_NUMBER_PARTY"
"114","PWSS_ID"
"115","PRIORITY_DATE"
"116","RECEIPT_DATE"
"117","REJECTION_DATE"
"118","APPLICATION_RECD_DATE"
"119","APPLICATION_ACCEPTANCE_DATE"
"120","PROJECT_TYPE"
"121","RECORD_SUMMARY"
"122","INCOMPLETE_STATEMENT"
"123","NUMBER_OF_PROTESTS"
"124","AGENT_NAME"
"125","AGENT_ENTITY_TYPE"
"126","APPLICATION_PRIMARY_OWNER"
"127","PRIMARY_OWNER_ENTITY_TYPE"
"128","SUB_TYPE"
"129","INI_REPORTED_DIV_AMOUNT"
"130","INI_REPORTED_DIV_UNIT"
"131","FACE_VALUE_AMOUNT"
"132","FACE_VALUE_UNITS"
"133","FEE_DUE"
"134","FEE_RECEIVED"
"135","APPL_FEE_AMOUNT"
"136","APPL_FEE_AMT_RECD"
"137","MAX_DD_APPL"
"138","MAX_DD_UNITS"
"139","MAX_DD_ANN"
"140","MAX_STORAGE"
"141","MAX_TAKEN_FROM_SOURCE"
"142","YEAR_DIVERSION_COMMENCED"
"143","MAX_BENEFICIALLY_USED"
"144","SUPPLEMENTAL_STATEMENT_CYCLE"
"145","TYPE_OF_DIVERSION_FACILITY"
"146","QUANTITY_OF_WATER_DIVERTED"
