"","x"
"1","POI_ID"
"2","POI_COUNTY"
"3","POI_SOURCE"
"4","POI_TRIBUTARY_TO"
"5","LATITUDE"
"6","LONGITUDE"
"7","DESCRIPTION"
"8","PRIMARY_POI"
"9","INVESTIGATION_ID"
"10","INVESTIGATION_TYPE"
"11","INVESTIGATION_START_DATE"
"12","INVESTIGATION_CLOSURE_DATE"
"13","NUM_OF_VIOLATIONS"
"14","ENFOR_CASE_NUMBER"
"15","ENFOCEMENT_ACTION_TYPE"
"16","ENFOR_CASE_CLOSURE_DATE"
"17","NUM_OF_COMMENTS"
"18","NUM_OF_ATTACHMENTS"
"19","INVESTIGATION_LEAD_STAFF"
"20","INVEST_SECTION_OR_OFFICE"
"21","INVESTIGATION_SWEEP"
"22","RESOURCE_VALUE_PRIORITY"
"23","INVESTIGATION_SUMMARY"
"24","INVESTIGATION_STATUS"
"25","VIOLATIONS_ASSOCIATED_WITH_POI"
"26","ASSOCIATED_WR_TO_INV"
"27","NUM_INSPECTION"
"28","INSPECTION_ID_1"
"29","INSPECTION_DATE_1"
"30","INSPECTION_METHOD_1"
"31","INSPECTION_REPORT_DATE_1"
"32","INSPECTION_NOTES_1"
"33","INSPECTION_ID_2"
"34","INSPECTION_DATE_2"
"35","INSPECTION_METHOD_2"
"36","INSPECTION_REPORT_DATE_2"
"37","INSPECTION_NOTES_2"
"38","INSPECTION_ID_3"
"39","INSPECTION_DATE_3"
"40","INSPECTION_METHOD_3"
"41","INSPECTION_REPORT_DATE_3"
"42","INSPECTION_NOTES_3"
