"","WATER_RIGHT_ID","APPL_ID","YEAR","MONTH","AMOUNT","DIVERSION_TYPE"
"1",56,"A000448",2009,1,0,"USE"
"2",56,"A000448",2009,1,0,"Combined (Direct + Storage)"
"3",56,"A000448",2009,2,0,"Combined (Direct + Storage)"
"4",56,"A000448",2009,2,0,"USE"
"5",56,"A000448",2009,3,0,"USE"
"6",56,"A000448",2009,3,0,"Combined (Direct + Storage)"
"7",56,"A000448",2009,4,0,"Combined (Direct + Storage)"
"8",56,"A000448",2009,4,0,"USE"
"9",56,"A000448",2009,5,0,"USE"
"10",56,"A000448",2009,5,0,"Combined (Direct + Storage)"
"11",56,"A000448",2009,6,0,"Combined (Direct + Storage)"
"12",56,"A000448",2009,6,0,"USE"
"13",56,"A000448",2009,7,0,"USE"
"14",56,"A000448",2009,7,0,"Combined (Direct + Storage)"
"15",56,"A000448",2009,8,0,"Combined (Direct + Storage)"
"16",56,"A000448",2009,8,0,"USE"
"17",56,"A000448",2009,9,0,"USE"
"18",56,"A000448",2009,9,0,"Combined (Direct + Storage)"
"19",56,"A000448",2009,10,0,"Combined (Direct + Storage)"
"20",56,"A000448",2009,10,0,"USE"
"21",56,"A000448",2009,11,0,"USE"
"22",56,"A000448",2009,11,0,"Combined (Direct + Storage)"
"23",56,"A000448",2009,12,0,"Combined (Direct + Storage)"
"24",56,"A000448",2009,12,0,"USE"
"25",56,"A000448",2010,1,0,"USE"
"26",56,"A000448",2010,1,0,"Combined (Direct + Storage)"
"27",56,"A000448",2010,2,0,"Combined (Direct + Storage)"
"28",56,"A000448",2010,2,0,"USE"
"29",56,"A000448",2010,3,0,"USE"
"30",56,"A000448",2010,3,0,"Combined (Direct + Storage)"
"31",56,"A000448",2010,4,1800,"Combined (Direct + Storage)"
"32",56,"A000448",2010,4,1600,"USE"
"33",56,"A000448",2010,5,2400,"USE"
"34",56,"A000448",2010,5,2640,"Combined (Direct + Storage)"
"35",56,"A000448",2010,6,1500,"Combined (Direct + Storage)"
"36",56,"A000448",2010,6,1350,"USE"
"37",56,"A000448",2010,7,720,"USE"
"38",56,"A000448",2010,7,800,"Combined (Direct + Storage)"
"39",56,"A000448",2010,8,1200,"Combined (Direct + Storage)"
"40",56,"A000448",2010,8,1080,"USE"
"41",56,"A000448",2010,9,440,"USE"
"42",56,"A000448",2010,9,480,"Combined (Direct + Storage)"
"43",56,"A000448",2010,10,0,"Combined (Direct + Storage)"
"44",56,"A000448",2010,10,0,"USE"
"45",56,"A000448",2010,11,0,"USE"
"46",56,"A000448",2010,11,0,"Combined (Direct + Storage)"
"47",56,"A000448",2010,12,0,"Combined (Direct + Storage)"
"48",56,"A000448",2010,12,0,"USE"
"49",56,"A000448",2011,1,0,"USE"
"50",56,"A000448",2011,1,0,"Combined (Direct + Storage)"
"51",56,"A000448",2011,2,0,"Combined (Direct + Storage)"
"52",56,"A000448",2011,2,0,"USE"
"53",56,"A000448",2011,3,0,"USE"
"54",56,"A000448",2011,3,0,"Combined (Direct + Storage)"
"55",56,"A000448",2011,4,744.4,"Combined (Direct + Storage)"
"56",56,"A000448",2011,4,572.88,"USE"
"57",56,"A000448",2011,5,0,"USE"
"58",56,"A000448",2011,5,0,"Combined (Direct + Storage)"
"59",56,"A000448",2011,6,833.2,"Combined (Direct + Storage)"
"60",56,"A000448",2011,6,641.56,"USE"
"61",56,"A000448",2011,7,854.39,"USE"
"62",56,"A000448",2011,7,1109.6,"Combined (Direct + Storage)"
"63",56,"A000448",2011,8,1267.6,"Combined (Direct + Storage)"
"64",56,"A000448",2011,8,976.05,"USE"
"65",56,"A000448",2011,9,73.46,"USE"
"66",56,"A000448",2011,9,95.4,"Combined (Direct + Storage)"
"67",56,"A000448",2011,10,0,"Combined (Direct + Storage)"
"68",56,"A000448",2011,10,0,"USE"
"69",56,"A000448",2011,11,0,"USE"
"70",56,"A000448",2011,11,0,"Combined (Direct + Storage)"
"71",56,"A000448",2011,12,0,"Combined (Direct + Storage)"
"72",56,"A000448",2011,12,0,"USE"
"73",56,"A000448",2012,1,0,"USE"
"74",56,"A000448",2012,1,0,"Combined (Direct + Storage)"
"75",56,"A000448",2012,2,0,"Combined (Direct + Storage)"
"76",56,"A000448",2012,2,0,"USE"
"77",56,"A000448",2012,3,0,"USE"
"78",56,"A000448",2012,3,0,"Combined (Direct + Storage)"
"79",56,"A000448",2012,4,46.17,"Combined (Direct + Storage)"
"80",56,"A000448",2012,4,35.55,"USE"
"81",56,"A000448",2012,5,1066.7,"USE"
